RMS ch 1,RMS ch 2,RMS ch 3,RMS ch 4,WL ch 1,WL ch 2,WL ch 3,WL ch 4,VAR ch 1,VAR ch 2,VAR ch 3,VAR ch 4,IEMG ch 1,IEMG ch 2,IEMG ch 3,IEMG ch 4,MF ch 1,MF ch 2,MF ch 3,MF ch 4,PF ch 1,PF ch 2,PF ch 3,PF ch 4,labels
5814.886765916138,7378.363648226263,6307.318026414828,34998.19606819443,1606.3083742737726,737.2702548956288,1149.1469105389403,3038.6667423658773,32188044.677834626,52872880.191418804,38078070.739032775,1223400435.9350505,5747570.735079729,5779480.667658963,6591255.477528064,28091097.00603845,0.09539678263140086,0.07997815114002922,0.06320719872564397,0.03143141912342997,0.06,0.0064285714285714285,0.06,0.005714285714285714,0
600255.4428008886,636580.5492322283,347888.76779088477,514819.05565391545,17590.412861624984,22696.96050672437,9163.731143551648,13696.470176323857,360301568590.33655,405226039557.7971,121026327959.89699,265038439761.55814,389010133.2757038,489698093.15357167,225251255.57044637,349967866.9465409,0.029417085814622185,0.03124433562805293,0.03435829051715832,0.026708589394303112,0.005,0.005,0.0064285714285714285,0.009285714285714286,0
299513.4412959367,295296.36129749095,11037.029166438106,57416.52950056345,7162.480576546615,6845.522960374707,778.2836022663571,2852.7690628097066,89705721042.81172,87196703168.83159,120630264.22174188,3294437451.14265,186541079.41110995,183303450.0937512,8880325.511505311,45855459.98475538,0.02026391240731482,0.020044629143551054,0.04976177822917758,0.039251178706956893,0.007142857142857143,0.007142857142857143,0.008571428571428572,0.005,0
150657.96431016555,144685.418737383,10066.42583152065,35747.88449996686,4155.663222497078,3840.7730230601087,630.9986317387084,3605.908914249717,22695997391.116608,20932130415.170067,99607755.45716357,1277243163.2712386,109299160.637837,104317129.09194176,8652312.391710283,35078213.2469967,0.023779563144983085,0.02453020518415863,0.0535240203865942,0.04705891790468859,0.005,0.005,0.005714285714285714,0.005,0
143956.7700096636,136760.40874776072,8221.913991299894,20216.025444337964,4573.9678503838395,4339.028745364706,364.64565676092866,1128.9016363294122,20720433307.86474,18700362369.44223,65904033.83356504,406762415.15963596,105609437.29166107,99476801.9345784,7186910.922041919,16062995.6759003,0.024724080946569978,0.02507861962011478,0.03776684953225874,0.03394105040201109,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.014285714285714285,0
176376.11055214613,161056.009165431,36034.91365276015,626742.0070713903,4178.160850466783,3736.6220290666292,1323.3718112949562,16906.201296670693,31106586273.641834,25936798870.391712,1297181369.9115474,392805543081.89905,120423181.18472916,113648324.14731325,21222695.37280875,449382914.22481227,0.02415960467009969,0.02379085151235583,0.036614965536061805,0.022428069842566373,0.0064285714285714285,0.0064285714285714285,0.0064285714285714285,0.005714285714285714,0
128997.11754677966,119082.97254917205,18990.071645955322,496094.37311475526,3049.3501110019974,2783.224395444801,702.3256133101995,12585.572515278789,16637516300.491488,14178229258.14317,358806452.8971729,246109623791.0376,82073022.85408576,73623055.54957186,12463306.046455737,359208491.15684366,0.02331514673968782,0.024863193708977015,0.03478079077029086,0.018290917283953365,0.005,0.005,0.007857142857142858,0.005,0
639640.424644971,630290.4264828148,17059.298927987773,412045.8661820064,16313.87625512533,15889.341653005898,903.2882834272265,9579.594337399722,409138984159.3001,397265086556.85986,289296298.3184086,169781235656.8759,408439007.763436,402020427.8173495,14677775.412880667,280494052.72984284,0.021540252843789562,0.021784598218754864,0.04741193716659201,0.019475611747598643,0.005714285714285714,0.005,0.007142857142857143,0.0064285714285714285,0
133221.74070878123,127585.98803515805,18509.64419388786,62621.456270466595,4186.754685702055,4050.246432258528,513.3107036852762,1464.0562671182472,17741615418.348736,16272308480.43427,340679734.2501939,3920902844.379283,115564878.92011482,109305076.47738719,14364019.038648188,49640923.80003173,0.024816013985503142,0.02518858674182034,0.02591911708812119,0.01871294333573936,0.005714285714285714,0.0064285714285714285,0.005714285714285714,0.007142857142857143,0
340404.5498680914,328745.86475326505,35414.197407009946,89618.99859318399,9359.784656791453,9062.854194772002,890.8271440856512,2104.1388893052026,115868205653.23868,108067296263.19768,1252272180.0648367,8030654265.065153,227842368.58492777,213239666.6503733,26440358.867371153,60544923.70101109,0.021725050158678587,0.02192768173925884,0.021518245574929765,0.01836320029229972,0.005,0.007142857142857143,0.0064285714285714285,0.005714285714285714,0
